"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2024","5,225","5,225","5,250","5,200","44.30M","0.97%"
"05/02/2024","5,175","5,225","5,275","5,175","100.89M","0.49%"
"04/30/2024","5,150","5,050","5,225","4,980","142.63M","2.49%"
"04/29/2024","5,025","4,920","5,050","4,900","68.30M","2.97%"
"04/26/2024","4,880","4,980","4,980","4,880","70.88M","-1.41%"
"04/25/2024","4,950","4,910","4,980","4,910","52.14M","0.81%"
"04/24/2024","4,910","5,000","5,050","4,910","65.80M","-2.29%"
"04/23/2024","5,025","4,990","5,075","4,990","49.49M","1.52%"
"04/22/2024","4,950","4,940","4,990","4,940","57.69M","1.02%"
"04/19/2024","4,900","5,050","5,075","4,870","185.01M","-3.92%"
"04/18/2024","5,100","5,150","5,150","5,050","81.58M","-0.49%"
"04/17/2024","5,125","5,150","5,175","5,100","47.21M","0.49%"
"04/16/2024","5,100","5,175","5,225","5,100","137.26M","-3.32%"
"04/05/2024","5,275","5,150","5,325","5,150","59.19M","1.93%"
"04/04/2024","5,175","5,250","5,250","5,150","48.41M","-1.43%"
"04/03/2024","5,250","5,275","5,275","5,200","39.26M","-0.47%"
"04/02/2024","5,275","5,225","5,275","5,175","41.03M","1.44%"
"04/01/2024","5,200","5,175","5,225","5,150","42.83M","0.97%"
"03/28/2024","5,150","5,275","5,275","5,100","107.12M","-2.37%"
"03/27/2024","5,275","5,300","5,325","5,250","47.17M","-0.47%"
"03/26/2024","5,300","5,350","5,375","5,250","57.18M","-0.93%"
"03/25/2024","5,350","5,375","5,425","5,325","39.76M","-0.47%"
"03/22/2024","5,375","5,375","5,375","5,325","55.09M","0.47%"
"03/21/2024","5,350","5,300","5,400","5,275","67.35M","1.42%"
"03/20/2024","5,275","5,225","5,275","5,225","56.19M","0.96%"
"03/19/2024","5,225","5,150","5,250","5,150","48.40M","1.46%"
"03/18/2024","5,150","5,200","5,250","5,150","50.94M","-0.48%"
"03/15/2024","5,175","5,300","5,300","5,175","164.22M","-1.90%"
"03/14/2024","5,275","5,175","5,300","5,150","79.47M","2.43%"
"03/13/2024","5,150","5,150","5,200","5,125","63.67M","0.00%"
"03/08/2024","5,150","5,150","5,175","5,125","39.98M","0.49%"
"03/07/2024","5,125","5,175","5,200","5,100","55.24M","-0.97%"
"03/06/2024","5,175","5,125","5,200","5,100","29.21M","1.47%"
"03/05/2024","5,100","5,225","5,225","5,100","53.17M","-1.92%"
"03/04/2024","5,200","5,250","5,275","5,175","57.12M","-0.48%"
"03/01/2024","5,225","5,225","5,275","5,150","64.84M","0.00%"
"02/29/2024","5,225","5,250","5,300","5,200","86.12M","0.00%"
"02/28/2024","5,225","5,325","5,425","5,200","225.20M","0.97%"
"02/27/2024","5,175","5,125","5,175","5,050","46.56M","0.98%"
"02/26/2024","5,125","5,150","5,200","5,075","56.88M","0.00%"
"02/23/2024","5,125","5,250","5,275","5,100","81.21M","-2.84%"
"02/22/2024","5,275","5,275","5,300","5,275","41.94M","0.48%"
"02/21/2024","5,250","5,200","5,300","5,175","68.38M","0.96%"
"02/20/2024","5,200","5,125","5,250","5,125","41.62M","1.46%"
"02/19/2024","5,125","5,200","5,250","5,075","89.71M","-1.44%"
"02/16/2024","5,200","5,125","5,200","5,100","75.50M","1.46%"
"02/15/2024","5,125","5,325","5,325","5,075","124.12M","-1.44%"
"02/13/2024","5,200","5,300","5,300","5,150","63.69M","-1.89%"
"02/12/2024","5,300","5,300","5,350","5,225","85.85M","-0.47%"
"02/07/2024","5,325","5,250","5,325","5,250","68.97M","1.43%"
"02/06/2024","5,250","5,175","5,275","5,150","46.26M","1.45%"
"02/05/2024","5,175","5,325","5,350","5,150","88.83M","-2.82%"
"02/02/2024","5,325","5,150","5,325","5,125","104.84M","3.90%"
"02/01/2024","5,125","5,100","5,175","5,075","55.48M","0.00%"
"01/31/2024","5,125","5,125","5,150","5,050","79.34M","0.49%"
"01/30/2024","5,100","4,920","5,175","4,900","165.69M","3.45%"
"01/29/2024","4,930","5,075","5,075","4,910","132.82M","-2.86%"
"01/26/2024","5,075","5,050","5,075","4,990","71.86M","0.50%"
"01/25/2024","5,050","5,075","5,150","5,025","81.03M","-0.49%"
"01/24/2024","5,075","5,150","5,175","4,980","246.29M","-0.98%"
"01/23/2024","5,125","5,150","5,200","5,075","176.61M","-1.91%"
"01/22/2024","5,225","5,350","5,425","5,225","169.97M","-2.34%"
"01/19/2024","5,350","5,375","5,400","5,300","52.87M","-0.47%"
"01/18/2024","5,375","5,400","5,400","5,325","71.52M","-0.46%"
"01/17/2024","5,400","5,500","5,525","5,350","114.59M","-1.82%"
"01/16/2024","5,500","5,525","5,525","5,475","44.84M","-0.45%"
"01/15/2024","5,525","5,600","5,625","5,500","79.94M","-1.34%"
"01/12/2024","5,600","5,550","5,625","5,550","28.82M","0.90%"
"01/11/2024","5,550","5,550","5,625","5,525","44.79M","0.45%"
"01/10/2024","5,525","5,500","5,575","5,450","75.42M","-0.90%"
"01/09/2024","5,575","5,600","5,600","5,525","36.78M","0.00%"
"01/08/2024","5,575","5,625","5,675","5,550","39.61M","-0.89%"
"01/05/2024","5,625","5,725","5,750","5,625","39.17M","-1.32%"
"01/04/2024","5,700","5,600","5,750","5,600","59.40M","1.79%"
"01/03/2024","5,600","5,700","5,700","5,600","37.19M","-1.75%"
"01/02/2024","5,700","5,625","5,700","5,575","36.48M","0.88%"
"12/29/2023","5,650","5,600","5,675","5,575","36.25M","0.89%"
"12/28/2023","5,600","5,575","5,600","5,550","31.64M","0.90%"
"12/27/2023","5,550","5,550","5,575","5,500","36.42M","0.00%"
"12/22/2023","5,550","5,550","5,600","5,500","38.06M","0.00%"
"12/21/2023","5,550","5,600","5,600","5,475","114.75M","-1.33%"
"12/20/2023","5,625","5,650","5,700","5,625","27.18M","0.00%"
"12/19/2023","5,625","5,625","5,650","5,600","43.01M","0.45%"
"12/18/2023","5,600","5,650","5,650","5,550","39.13M","-0.88%"
"12/15/2023","5,650","5,625","5,700","5,600","93.58M","0.44%"
"12/14/2023","5,625","5,600","5,650","5,575","72.01M","1.81%"
"12/13/2023","5,525","5,550","5,600","5,525","31.20M","-0.90%"
"12/12/2023","5,575","5,675","5,675","5,550","19.27M","-0.45%"
"12/11/2023","5,600","5,650","5,675","5,525","39.51M","-1.32%"
"12/08/2023","5,675","5,675","5,700","5,625","26.97M","0.00%"
"12/07/2023","5,675","5,750","5,750","5,600","40.60M","-0.87%"
"12/06/2023","5,725","5,700","5,825","5,700","41.36M","0.00%"
"12/05/2023","5,725","5,775","5,800","5,675","25.79M","-0.43%"
"12/04/2023","5,750","5,750","5,825","5,725","57.59M","0.00%"
"12/01/2023","5,750","5,450","5,750","5,450","145.37M","6.48%"
"11/30/2023","5,400","5,575","5,575","5,400","161.68M","-2.26%"
"11/29/2023","5,525","5,600","5,650","5,525","75.07M","-0.45%"
"11/28/2023","5,550","5,675","5,675","5,550","86.91M","-1.33%"
"11/27/2023","5,625","5,725","5,750","5,600","63.36M","-1.75%"
"11/24/2023","5,725","5,700","5,750","5,700","12.54M","0.44%"
"11/23/2023","5,700","5,675","5,725","5,675","43.43M","0.44%"
"11/22/2023","5,675","5,775","5,775","5,650","36.33M","-1.73%"
"11/21/2023","5,775","5,800","5,850","5,750","17.15M","-0.43%"
"11/20/2023","5,800","5,725","5,850","5,700","28.40M","1.75%"
"11/17/2023","5,700","5,800","5,825","5,700","27.12M","-2.15%"
"11/16/2023","5,825","5,750","5,825","5,725","26.80M","1.30%"
"11/15/2023","5,750","5,750","5,850","5,700","34.81M","1.32%"
"11/14/2023","5,675","5,675","5,725","5,650","12.07M","0.44%"
"11/13/2023","5,650","5,825","5,825","5,650","26.98M","-2.16%"
"11/10/2023","5,775","5,725","5,775","5,725","15.23M","0.43%"
"11/09/2023","5,750","5,775","5,825","5,725","20.42M","0.44%"
"11/08/2023","5,725","5,800","5,825","5,675","38.38M","-1.72%"
"11/07/2023","5,825","5,925","5,950","5,775","30.30M","-1.69%"
"11/06/2023","5,925","5,925","5,950","5,900","29.76M","0.42%"
"11/03/2023","5,900","5,850","5,925","5,825","43.40M","1.72%"
"11/02/2023","5,800","5,850","5,900","5,800","46.17M","0.00%"
"11/01/2023","5,800","5,900","6,000","5,800","91.84M","0.43%"
"10/31/2023","5,775","5,850","5,900","5,775","46.12M","-0.43%"
"10/30/2023","5,800","5,750","5,825","5,675","17.82M","1.31%"
"10/27/2023","5,725","5,750","5,775","5,725","35.33M","0.00%"
"10/26/2023","5,725","5,775","5,800","5,675","18.97M","-0.87%"
"10/25/2023","5,775","5,825","5,925","5,775","51.54M","-0.43%"
"10/24/2023","5,800","5,600","5,850","5,600","57.28M","3.57%"
"10/23/2023","5,600","5,725","5,750","5,600","57.52M","-1.75%"
"10/20/2023","5,700","5,675","5,750","5,650","65.94M","-0.44%"
"10/19/2023","5,725","5,825","5,850","5,700","60.26M","-1.72%"
"10/18/2023","5,825","5,850","6,000","5,825","176.65M","-0.43%"
"10/17/2023","5,850","5,875","5,925","5,850","40.30M","0.00%"
"10/16/2023","5,850","5,925","5,975","5,825","63.07M","-2.09%"
"10/13/2023","5,975","6,000","6,025","5,950","32.79M","0.42%"
"10/12/2023","5,950","6,000","6,025","5,950","71.95M","-1.65%"
"10/11/2023","6,050","6,075","6,125","6,050","45.96M","0.00%"
"10/10/2023","6,050","6,175","6,175","6,050","42.68M","-1.22%"
"10/09/2023","6,125","6,150","6,225","6,100","43.72M","0.82%"
"10/06/2023","6,075","6,050","6,150","6,050","18.10M","0.83%"
"10/05/2023","6,025","6,125","6,175","6,025","55.92M","-0.82%"
"10/04/2023","6,075","6,175","6,200","6,050","55.50M","-2.02%"
"10/03/2023","6,200","6,275","6,300","6,200","26.14M","-1.20%"
"10/02/2023","6,275","6,275","6,350","6,250","23.88M","0.80%"
"09/29/2023","6,225","6,250","6,275","6,200","21.19M","1.22%"
"09/27/2023","6,150","6,200","6,250","6,125","31.69M","-0.81%"
"09/26/2023","6,200","6,225","6,300","6,200","43.22M","-0.80%"
"09/25/2023","6,250","6,225","6,275","6,200","32.82M","0.81%"
