"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2024","5,750","5,850","5,875","5,650","203.24M","-2.13%"
"06/13/2024","5,875","5,975","6,000","5,850","162.62M","-0.84%"
"06/12/2024","5,925","6,050","6,075","5,900","120.86M","-3.27%"
"06/11/2024","6,125","6,200","6,250","6,125","56.25M","-2.39%"
"06/10/2024","6,275","6,275","6,350","6,200","80.15M","0.00%"
"06/07/2024","6,275","6,250","6,275","6,150","99.09M","1.62%"
"06/06/2024","6,175","6,125","6,200","6,075","85.74M","2.92%"
"06/05/2024","6,000","6,125","6,150","5,975","105.17M","-2.44%"
"06/04/2024","6,150","6,150","6,275","6,125","137.80M","0.82%"
"06/03/2024","6,100","6,075","6,150","6,025","92.53M","3.39%"
"05/31/2024","5,900","6,000","6,025","5,900","169.57M","0.43%"
"05/30/2024","5,875","5,775","6,000","5,525","236.63M","1.29%"
"05/29/2024","5,800","5,825","5,875","5,700","169.39M","-2.52%"
"05/28/2024","5,950","5,850","6,025","5,825","93.70M","2.15%"
"05/27/2024","5,825","6,025","6,050","5,825","258.45M","-3.72%"
"05/22/2024","6,050","6,000","6,150","5,950","171.68M","0.41%"
"05/21/2024","6,025","6,225","6,275","5,975","308.55M","-4.74%"
"05/20/2024","6,325","6,550","6,625","6,200","168.80M","-3.80%"
"05/17/2024","6,575","6,350","6,650","6,350","133.15M","3.54%"
"05/16/2024","6,350","6,450","6,500","6,325","114.81M","-0.39%"
"05/15/2024","6,375","6,200","6,400","6,200","80.92M","2.82%"
"05/14/2024","6,200","6,175","6,300","6,175","94.05M","0.00%"
"05/13/2024","6,200","6,200","6,275","6,125","128.64M","-1.20%"
"05/08/2024","6,275","6,325","6,450","6,250","117.07M","0.00%"
"05/07/2024","6,275","6,325","6,400","6,250","130.41M","0.00%"
"05/06/2024","6,275","6,250","6,400","6,150","184.23M","2.03%"
"05/03/2024","6,150","6,300","6,425","6,050","270.53M","-2.77%"
"05/02/2024","6,325","6,800","6,800","6,050","501.85M","-8.33%"
"04/30/2024","6,900","6,800","7,050","6,775","189.99M","-0.36%"
"04/29/2024","6,925","6,650","6,950","6,650","77.94M","2.59%"
"04/26/2024","6,750","7,000","7,025","6,750","125.88M","-2.88%"
"04/25/2024","6,950","7,050","7,075","6,925","111.80M","-1.42%"
"04/24/2024","7,050","6,925","7,050","6,900","117.59M","3.30%"
"04/23/2024","6,825","6,850","6,925","6,725","107.63M","1.49%"
"04/22/2024","6,725","6,875","6,875","6,575","121.73M","0.00%"
"04/19/2024","6,725","6,725","6,800","6,650","47.94M","-1.10%"
"04/18/2024","6,800","6,800","6,900","6,725","106.89M","2.64%"
"04/17/2024","6,625","6,700","6,775","6,625","83.84M","0.00%"
"04/16/2024","6,625","6,350","6,725","6,300","180.01M","-2.93%"
"04/05/2024","6,825","6,825","6,900","6,825","46.11M","-0.73%"
"04/04/2024","6,875","6,750","6,925","6,750","64.42M","1.48%"
"04/03/2024","6,775","6,950","6,950","6,675","115.37M","-1.81%"
"04/02/2024","6,900","6,900","6,900","6,700","135.76M","0.00%"
"04/01/2024","6,900","7,250","7,250","6,750","158.36M","-4.83%"
"03/28/2024","7,250","7,150","7,250","7,125","90.90M","1.05%"
"03/27/2024","7,175","7,200","7,250","7,175","46.30M","0.00%"
"03/26/2024","7,175","7,125","7,225","7,125","74.27M","-1.03%"
"03/25/2024","7,250","7,050","7,250","7,000","78.21M","2.84%"
"03/22/2024","7,050","7,000","7,075","6,950","87.32M","0.00%"
"03/21/2024","7,050","7,100","7,200","7,050","81.77M","0.00%"
