"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2024","2,420","2,460","2,460","2,400","30.80K","-1.63%"
"05/02/2024","2,460","2,470","2,480","2,440","8.10K","-0.40%"
"04/30/2024","2,470","2,420","2,470","2,420","18.00K","1.23%"
"04/29/2024","2,440","2,440","2,440","2,400","36.80K","0.00%"
"04/26/2024","2,440","2,490","2,490","2,430","9.80K","-2.01%"
"04/25/2024","2,490","2,480","2,510","2,470","6.00K","0.40%"
"04/24/2024","2,480","2,510","2,510","2,480","15.30K","0.00%"
"04/23/2024","2,480","2,470","2,500","2,460","4.90K","0.00%"
"04/22/2024","2,480","2,460","2,510","2,450","11.00K","0.81%"
"04/19/2024","2,460","2,490","2,500","2,450","25.40K","-1.60%"
"04/18/2024","2,500","2,530","2,530","2,490","27.40K","-1.19%"
"04/17/2024","2,530","2,520","2,530","2,450","81.80K","0.40%"
"04/16/2024","2,520","2,500","2,540","2,490","59.80K","0.00%"
"04/05/2024","2,520","2,480","2,530","2,480","20.60K","1.61%"
"04/04/2024","2,480","2,550","2,550","2,470","59.10K","-0.80%"
"04/03/2024","2,500","2,570","2,570","2,500","83.70K","-2.72%"
"04/02/2024","2,570","2,620","2,620","2,540","97.50K","-2.28%"
"04/01/2024","2,630","2,640","2,660","2,610","239.80K","0.77%"
"03/28/2024","2,610","2,620","2,650","2,600","136.70K","0.00%"
"03/27/2024","2,610","2,600","2,620","2,600","146.60K","0.00%"
"03/26/2024","2,610","2,610","2,610","2,580","13.60K","0.00%"
"03/25/2024","2,610","2,610","2,620","2,580","254.70K","0.00%"
"03/22/2024","2,610","2,610","2,620","2,580","29.40K","0.00%"
"03/21/2024","2,610","2,590","2,610","2,590","49.50K","0.77%"
"03/20/2024","2,590","2,580","2,590","2,580","5.00K","0.39%"
"03/19/2024","2,580","2,620","2,620","2,560","102.40K","-1.15%"
"03/18/2024","2,610","2,600","2,610","2,570","30.90K","0.38%"
"03/15/2024","2,600","2,590","2,670","2,580","253.00K","0.39%"
"03/14/2024","2,590","2,570","2,590","2,570","24.40K","0.78%"
"03/13/2024","2,570","2,600","2,600","2,570","20.70K","-0.77%"
"03/08/2024","2,590","2,590","2,600","2,560","128.90K","0.00%"
"03/07/2024","2,590","2,600","2,600","2,580","21.50K","-0.38%"
"03/06/2024","2,600","2,590","2,600","2,590","12.90K","0.00%"
"03/05/2024","2,600","2,610","2,610","2,590","31.90K","-0.38%"
"03/04/2024","2,610","2,610","2,610","2,600","39.60K","0.00%"
"03/01/2024","2,610","2,610","2,620","2,600","14.60K","-0.38%"
"02/29/2024","2,620","2,620","2,620","2,600","9.90K","0.00%"
"02/28/2024","2,620","2,630","2,630","2,610","51.60K","-0.10%"
