date,demand,year,month,month_name,day,day_name
2001-01-02,221.0,2001,1,January,02,Tuesday
2001-01-03,11570.0,2001,1,January,03,Wednesday
2001-01-04,1519.0,2001,1,January,04,Thursday
2001-01-05,872.0,2001,1,January,05,Friday
2001-01-06,0.0,2001,1,January,06,Saturday
2001-01-07,0.0,2001,1,January,07,Sunday
2001-01-08,465.0,2001,1,January,08,Monday
2001-01-09,1069.0,2001,1,January,09,Tuesday
2001-01-10,945.0,2001,1,January,10,Wednesday
2001-01-11,268.0,2001,1,January,11,Thursday
2001-01-12,133.0,2001,1,January,12,Friday
2001-01-13,0.0,2001,1,January,13,Saturday
2001-01-14,0.0,2001,1,January,14,Sunday
2001-01-15,0.0,2001,1,January,15,Monday
2001-01-16,1133.0,2001,1,January,16,Tuesday
2001-01-17,4245.0,2001,1,January,17,Wednesday
2001-01-18,12023.0,2001,1,January,18,Thursday
2001-01-19,2712.0,2001,1,January,19,Friday
2001-01-20,0.0,2001,1,January,20,Saturday
2001-01-21,0.0,2001,1,January,21,Sunday
2001-01-22,2416.0,2001,1,January,22,Monday
2001-01-23,461.0,2001,1,January,23,Tuesday
2001-01-24,1261.0,2001,1,January,24,Wednesday
2001-01-25,283.0,2001,1,January,25,Thursday
2001-01-26,3104.0,2001,1,January,26,Friday
2001-01-27,0.0,2001,1,January,27,Saturday
2001-01-28,0.0,2001,1,January,28,Sunday
2001-01-29,694.0,2001,1,January,29,Monday
2001-01-30,1418.0,2001,1,January,30,Tuesday
2001-01-31,3953.0,2001,1,January,31,Wednesday
2001-02-01,1830.0,2001,2,February,01,Thursday
2001-02-02,3314.0,2001,2,February,02,Friday
2001-02-03,0.0,2001,2,February,03,Saturday
2001-02-04,0.0,2001,2,February,04,Sunday
2001-02-05,1768.0,2001,2,February,05,Monday
2001-02-06,1756.0,2001,2,February,06,Tuesday
2001-02-07,2496.0,2001,2,February,07,Wednesday
2001-02-08,2404.0,2001,2,February,08,Thursday
2001-02-09,1840.0,2001,2,February,09,Friday
2001-02-10,0.0,2001,2,February,10,Saturday
2001-02-11,0.0,2001,2,February,11,Sunday
2001-02-12,2589.0,2001,2,February,12,Monday
2001-02-13,1001.0,2001,2,February,13,Tuesday
2001-02-14,1187.0,2001,2,February,14,Wednesday
2001-02-15,1460.0,2001,2,February,15,Thursday
2001-02-16,1524.0,2001,2,February,16,Friday
2001-02-17,0.0,2001,2,February,17,Saturday
2001-02-18,0.0,2001,2,February,18,Sunday
2001-02-19,0.0,2001,2,February,19,Monday
2001-02-20,3044.0,2001,2,February,20,Tuesday
2001-02-21,3578.0,2001,2,February,21,Wednesday
2001-02-22,1293.0,2001,2,February,22,Thursday
2001-02-23,4500.0,2001,2,February,23,Friday
2001-02-24,0.0,2001,2,February,24,Saturday
2001-02-25,0.0,2001,2,February,25,Sunday
2001-02-26,1250.0,2001,2,February,26,Monday
2001-02-27,2574.0,2001,2,February,27,Tuesday
2001-02-28,2622.0,2001,2,February,28,Wednesday
2001-03-01,6156.0,2001,3,March,01,Thursday
2001-03-02,3536.0,2001,3,March,02,Friday
2001-03-03,0.0,2001,3,March,03,Saturday
2001-03-04,0.0,2001,3,March,04,Sunday
2001-03-05,2551.0,2001,3,March,05,Monday
2001-03-06,1039.0,2001,3,March,06,Tuesday
2001-03-07,1462.0,2001,3,March,07,Wednesday
2001-03-08,1004.0,2001,3,March,08,Thursday
2001-03-09,6744.0,2001,3,March,09,Friday
2001-03-10,0.0,2001,3,March,10,Saturday
2001-03-11,0.0,2001,3,March,11,Sunday
2001-03-12,3827.0,2001,3,March,12,Monday
2001-03-13,3037.0,2001,3,March,13,Tuesday
2001-03-14,3486.0,2001,3,March,14,Wednesday
2001-03-15,632.0,2001,3,March,15,Thursday
2001-03-16,5714.0,2001,3,March,16,Friday
2001-03-17,0.0,2001,3,March,17,Saturday
2001-03-18,0.0,2001,3,March,18,Sunday
2001-03-19,2775.0,2001,3,March,19,Monday
2001-03-20,4644.0,2001,3,March,20,Tuesday
2001-03-21,883.0,2001,3,March,21,Wednesday
2001-03-22,22.0,2001,3,March,22,Thursday
2001-03-23,4950.0,2001,3,March,23,Friday
2001-03-24,0.0,2001,3,March,24,Saturday
2001-03-25,0.0,2001,3,March,25,Sunday
2001-03-26,2021.0,2001,3,March,26,Monday
2001-03-27,4298.0,2001,3,March,27,Tuesday
2001-03-28,5116.0,2001,3,March,28,Wednesday
2001-03-29,667.0,2001,3,March,29,Thursday
2001-03-30,1200.0,2001,3,March,30,Friday
2001-03-31,0.0,2001,3,March,31,Saturday
2001-04-01,0.0,2001,4,April,01,Sunday
2001-04-02,1580.0,2001,4,April,02,Monday
2001-04-03,4511.0,2001,4,April,03,Tuesday
2001-04-04,1781.0,2001,4,April,04,Wednesday
2001-04-05,6750.0,2001,4,April,05,Thursday
2001-04-06,265.0,2001,4,April,06,Friday
2001-04-07,0.0,2001,4,April,07,Saturday
2001-04-08,0.0,2001,4,April,08,Sunday
2001-04-09,1991.0,2001,4,April,09,Monday
2001-04-10,3177.0,2001,4,April,10,Tuesday
2001-04-11,1636.0,2001,4,April,11,Wednesday
2001-04-12,1262.0,2001,4,April,12,Thursday
2001-04-13,0.0,2001,4,April,13,Friday
2001-04-14,0.0,2001,4,April,14,Saturday
2001-04-15,0.0,2001,4,April,15,Sunday
2001-04-16,572.0,2001,4,April,16,Monday
2001-04-17,3049.0,2001,4,April,17,Tuesday
2001-04-18,6820.0,2001,4,April,18,Wednesday
2001-04-19,7484.0,2001,4,April,19,Thursday
2001-04-20,314.0,2001,4,April,20,Friday
2001-04-21,0.0,2001,4,April,21,Saturday
2001-04-22,0.0,2001,4,April,22,Sunday
2001-04-23,2464.0,2001,4,April,23,Monday
2001-04-24,598.0,2001,4,April,24,Tuesday
2001-04-25,1935.0,2001,4,April,25,Wednesday
2001-04-26,966.0,2001,4,April,26,Thursday
2001-04-27,2163.0,2001,4,April,27,Friday
2001-04-28,0.0,2001,4,April,28,Saturday
2001-04-29,0.0,2001,4,April,29,Sunday
2001-04-30,912.0,2001,4,April,30,Monday
2001-05-01,2927.0,2001,5,May,01,Tuesday
2001-05-02,2624.0,2001,5,May,02,Wednesday
2001-05-03,1473.0,2001,5,May,03,Thursday
2001-05-04,1900.0,2001,5,May,04,Friday
2001-05-05,0.0,2001,5,May,05,Saturday
2001-05-06,0.0,2001,5,May,06,Sunday
2001-05-07,34.0,2001,5,May,07,Monday
2001-05-08,1674.0,2001,5,May,08,Tuesday
2001-05-09,612.0,2001,5,May,09,Wednesday
2001-05-10,1522.0,2001,5,May,10,Thursday
2001-05-11,2943.0,2001,5,May,11,Friday
2001-05-12,0.0,2001,5,May,12,Saturday
2001-05-13,0.0,2001,5,May,13,Sunday
2001-05-14,671.0,2001,5,May,14,Monday
2001-05-15,906.0,2001,5,May,15,Tuesday
2001-05-16,1955.0,2001,5,May,16,Wednesday
2001-05-17,630.0,2001,5,May,17,Thursday
2001-05-18,2060.0,2001,5,May,18,Friday
2001-05-19,0.0,2001,5,May,19,Saturday
2001-05-20,0.0,2001,5,May,20,Sunday
2001-05-21,1362.0,2001,5,May,21,Monday
2001-05-22,865.0,2001,5,May,22,Tuesday
2001-05-23,517.0,2001,5,May,23,Wednesday
2001-05-24,1874.0,2001,5,May,24,Thursday
2001-05-25,1505.0,2001,5,May,25,Friday
2001-05-26,0.0,2001,5,May,26,Saturday
2001-05-27,0.0,2001,5,May,27,Sunday
